Node,Priority Score,Cluster
2,6.016739384245762,0
16,6.014303682782637,0
41,6.007861006505777,0
35,6.006501305879494,0
30,6.006271427221682,0
43,6.004801637917072,0
22,6.004263089164237,0
7,6.003145246193716,0
9,6.0,0
5,6.0,0
28,6.0,0
19,6.0,0
3,3.0827941434510318,1
18,2.7707531584062197,1
47,2.768637026239067,1
29,2.7667597991577586,1
13,2.766108951517115,1
31,2.7659207968901844,1
38,2.7560614404491957,1
4,2.7461089515171144,1
21,5.008138969873664,2
10,5.006038427275673,2
6,5.002622388241011,2
46,5.002328312277292,2
44,5.001913265306122,2
42,5.0018120343375445,2
48,5.001499230644638,2
33,3.6387581322211426,3
20,3.603961673955297,3
11,3.5935070456754126,3
40,3.5920825009898136,3
27,3.5895579131123343,3
23,3.58905203946658,3
45,5.413354473733937,4
32,5.379592427248678,4
25,5.344936426951733,4
24,5.344933952416946,4
39,5.344557598171544,4
34,5.34261486340568,4
14,5.339702111003131,4
26,5.3395492522405785,4
17,5.338738729618832,4
12,5.337533406219631,4
1,5.337165600367131,4
36,5.336760564013965,4
37,5.335296876687183,4
49,5.334462733506101,4
50,5.3343679138321995,4
8,4.477103290295711,5
15,4.4671256768013325,5
